AVOIDS ENORMOUS NETWORK PAYLOADS
URL;TRANSFER SIZE
https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Wikinews-logo.svg/25px-Wikinews-logo.svg.png;3438.9869999722578 ms;image/webp text;h2 text;806 bytes;Image text;3424.529000010807 ms;200 text;2181 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Wikisource-logo.svg/19px-Wikisource-logo.svg.png;3442.4809999763966 ms;image/webp text;h2 text;810 bytes;Image text;3424.6730000013486 ms;200 text;2185 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Serao_-_La_conquista_di_Roma.djvu/page9-170px-Serao_-_La_conquista_di_Roma.djvu.jpg;3442.7559999749064 ms;image/webp text;h2 text;6052 bytes;Image text;3424.8459999798797 ms;200 text;7513 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Wikivoyage-Logo-v3-icon.svg/19px-Wikivoyage-Logo-v3-icon.svg.png;3440.1790000265464 ms;image/webp text;h2 text;310 bytes;Image text;3424.9849999905564 ms;200 text;1764 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Vicenza_banner2.jpg/260px-Vicenza_banner2.jpg;3443.2730000116862 ms;image/webp text;h2 text;11652 bytes;Image text;3425.1529999892227 ms;200 text;13028 bytes
https://it.wikipedia.org/static/images/project-logos/itwiki.png;3451.0100000188686 ms;image/png text;h2 text;7914 bytes;Image text;3428.581000014674 ms;200 text;9224 bytes
https://it.wikipedia.org/w/skins/Vector/resources/common/images/bullet-icon.svg?d4515;3460.8119999757037 ms;image/svg+xml text;h2 text;159 bytes;Image text;3453.581999987364 ms;200 text;1520 bytes
https://it.wikipedia.org/w/skins/Vector/resources/skins.vector.styles.legacy/images/user-avatar.svg?b7f58;3468.666000000667 ms;image/svg+xml text;h2 text;254 bytes;Image text;3457.1299999952316 ms;200 text;1587 bytes
https://it.wikipedia.org/w/skins/Vector/resources/common/images/search.svg?ac00d;3468.99600001052 ms;image/svg+xml text;h2 text;251 bytes;Image text;3461.1900000018068 ms;200 text;1572 bytes
https://it.wikipedia.org/static/images/footer/wikimedia-button.png;3677.674999984447 ms;image/png text;h2 text;2360 bytes;Image text;3665.5449999962 ms;200 text;3672 bytes
https://it.wikipedia.org/static/images/footer/poweredby_mediawiki_88x31.png;3674.074999988079 ms;image/png text;h2 text;2205 bytes;Image text;3665.8230000175536 ms;200 text;3517 bytes
